ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"80.52.223.98","elite","AS5617","PL","Orange Polska Spolka Akcyjna","46","Orange Polska S.A.","5678","socks4","5089","9","2023-11-09T16:13:30.902Z","98","4601","4688"
"176.115.14.32","elite","AS58350","PL","PHU Classcom Sp. z o.o.","51","PHU Classcom Sp. z o.o","5678","socks4","592","2","2023-11-09T16:13:30.898Z","100","4769","4786"
"91.203.25.28","elite","AS44827","UA","Bravoport","106","Bravoport Ltd","4153","socks4","5187","4","2023-11-09T16:13:29.797Z","81","3818","4703"
"203.24.102.86","elite","AS209242","VG","Cloudflare London, LLC","12","Anaga Consulting Limited","80","socks4","4986","1","2023-11-09T16:13:29.606Z","100","4723","4725"
"106.75.134.183","elite","AS136958","CN","UCLOUD","219","Shanghai UCloud Information Technology Company Limited","999","socks4","4504","2","2023-11-09T16:13:29.807Z","81","3769","4636"
"86.48.13.95","elite","AS136787","JP","Tefincom S.A.","302","Packethub S.A","3128","socks5","3203","1","2023-11-09T16:13:29.801Z","100","4633","4650"
"185.158.248.95","elite","AS9009","RO","M247 Europe SRL","131","ALLSYS Limited","5836","socks4","4700","2","2023-11-09T16:13:20.600Z","99","4601","4660"
"143.92.56.162","elite","AS64050","HK","CTG Server Ltd","284","CTG Server Ltd.","39500","socks4","4593","2","2023-11-09T16:13:20.604Z","44","2011","4605"
"110.74.208.153","elite","AS38901","KH","EZECOM limited","225","EZECOM limited","21776","socks4","234","1","2023-11-09T16:13:19.107Z","88","4094","4630"
"199.188.93.214","elite","AS64200","US","Vivid-hosting LLC","205","Vivid-hosting LLC","9000","socks5","4807","5","2023-11-09T16:13:19.101Z","100","4777","4783"
"138.94.190.138","elite","AS28343","BR","Unifique Telecomunicações SA","304","UNIFIQUE TELECOMUNICACOES S/A","8080","socks5","4602","1","2023-11-09T16:13:14.110Z","100","4653","4672"
"201.20.88.5","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A.","938","MOB SERVICOS DE TELECOMUNICACOES S.A","3128","socks4","1606","1","2023-11-09T16:13:13.895Z","100","4701","4710"
"47.115.162.7","elite","AS37963","CN","Addresses CNNIC","276","Aliyun Computing Co., LTD","8060","socks5","4996","4","2023-11-09T16:13:12.701Z","82","3847","4711"
"178.79.144.186","elite","AS63949","GB","Linode","15","Linode, LLC","8080","socks5","4707","1","2023-11-09T16:13:12.598Z","100","4659","4659"
"43.153.81.168","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","443","socks4","2388","79","2023-11-09T16:13:12.796Z","93","4344","4696"
"43.157.47.7","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","13","Tencent Cloud Computing","443","socks5","5290","1","2023-11-09T16:13:07.702Z","39","1848","4742"
"38.127.173.131","elite","AS174","US","Cogent Communications","92","Torlandia Trading SRL","12697","socks5","5092","1","2023-11-09T16:13:07.796Z","100","4606","4614"
"81.169.187.194","elite","AS6724","DE","Strato AG","99","Strato AG","80","socks5","5092","99","2023-11-09T16:13:06.705Z","100","4761","4764"
"1.2.209.194","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","5186","2","2023-11-09T16:13:06.702Z","74","3473","4724"
"207.180.198.90","elite","AS51167","DE","Contabo GmbH","99","Contabo GmbH","16791","socks5","4401","1","2023-11-09T16:13:06.708Z","100","4681","4682"
"94.130.171.13","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","63152","socks5","5098","1","2023-11-09T16:13:01.097Z","25","1124","4587"
"152.204.128.46","elite","AS3816","CO","Colombia Telecomunicaciones S.a. ESP","203","Colombia Telecomunicaciones S.a. ESP","35483","socks4","5094","1","2023-11-09T16:13:01.100Z","95","4430","4646"
"192.12.112.65","elite","AS61942","BR","Turbonet Telecom Ltda","187","Turbonet Telecom Ltda","4145","socks4","4289","1","2023-11-09T16:13:01.095Z","99","4678","4731"
"46.98.206.15","elite","AS15377","UA","ISP \"Fregat\"","78","ISP \"Fregat\" Ltd.","5678","socks4","2792","1","2023-11-09T16:13:00.104Z","44","2066","4722"
"15.235.141.35","elite","AS16276","SG","OVH SAS","159","OVH Singapore PTE. LTD","51921","socks4","4908","1","2023-11-09T16:13:00.197Z","92","4253","4600"
"181.5.214.192","elite","AS7303","AR","Telecom Argentina S.A.","1198","Telecom Personal Bs","1080","socks4","5094","1","2023-11-09T16:13:00.101Z","32","1518","4707"
"68.183.25.78","elite","AS14061","US","DigitalOcean, LLC","97","DigitalOcean, LLC","23017","socks5","4900","1","2023-11-09T16:13:00.003Z","100","4647","4659"
"114.5.196.210","elite","AS4761","ID","PT. INDOSAT Tbk","279","PT. INDOSAT Tbk","1081","socks4","4610","5","2023-11-09T16:12:59.800Z","75","3522","4673"
"139.180.146.114","elite","AS20473","SG","Choopa","161","N/A","34959","socks4","5199","1","2023-11-09T16:12:54.010Z","73","3393","4652"
"71.234.197.16","elite","AS7015","US","Comcast Cable Communications, LLC","193","Comcast Cable Communications, Inc.","4600","socks4","5010","3","2023-11-09T16:12:54.200Z","98","4479","4575"
"45.140.88.217","elite","AS8796","US","FD-298-8796","141","Rhino Cloud LTD","26419","socks5","4996","90","2023-11-09T16:12:54.206Z","37","1702","4613"
"201.159.103.97","elite","AS28539","MX","Jose Miguel Macias Contreras","146","Jose Miguel Macias Contreras","31337","socks4","4994","2","2023-11-09T16:12:54.007Z","98","4598","4693"
"45.77.210.72","elite","AS20473","US","The Constant Company","141","Vultr Holdings, LLC","11874","socks5","3205","2","2023-11-09T16:12:54.113Z","61","2828","4666"
"36.90.62.85","elite","AS7713","ID","PT. Telekomunikasi Indonesia","187","Telekomunikasi Indonesia","4145","socks5","4107","1","2023-11-09T16:12:54.197Z","61","2875","4701"
"118.67.170.121","elite","AS4766","KR","Netropy CO.","274","NURILINK","4153","socks4","1200","1","2023-11-09T16:12:48.595Z","99","4734","4763"
"119.130.165.4","elite","AS4134","CN","Chinanet","213","Chinanet GD","38801","socks5","5489","1","2023-11-09T16:12:48.303Z","44","2086","4766"
"123.118.230.220","elite","AS4808","CN","China Unicom Beijing Province Network","190","N/A","44844","socks5","4400","1","2023-11-09T16:12:48.307Z","81","3802","4670"
"185.123.235.77","elite","AS49924","IT","ECROM-MAIN","118","N/A","5678","socks4","5188","1","2023-11-09T16:12:42.395Z","35","1639","4696"
"197.234.13.90","elite","AS36902","SC","Intelvision","196","Intelvision Ltd","4145","socks4","2888","1","2023-11-09T16:12:41.197Z","99","4747","4776"
"112.250.211.161","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","197","N/A","38801","socks4","2275","4","2023-11-09T16:12:41.200Z","86","3934","4598"
"49.75.17.108","elite","AS4134","CN","Chinanet","835","Chinanet JS","44844","socks5","4604","2","2023-11-09T16:12:41.296Z","60","2750","4607"
"192.210.196.222","elite","AS36352","US","ColoCrossing","145","RackNerd LLC","10800","socks4","3695","2","2023-11-09T16:12:41.600Z","98","4582","4657"
"197.234.13.36","elite","AS36902","SC","Intelvision","164","Intelvision Ltd","4145","socks4","4700","1","2023-11-09T16:12:35.513Z","99","4600","4626"
"120.24.52.179","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","300","Aliyun Computing Co., LTD","3128","socks5","4409","1","2023-11-09T16:12:35.607Z","83","3914","4742"
"80.30.105.12","elite","AS3352","ES","TDENET (Red de servicios IP)","121","N/A","58888","socks4","2103","1","2023-11-09T16:12:35.599Z","100","4618","4630"
"31.170.19.233","elite","AS42099","LV","DNET ITRisinajumi Ltd.","98","Sia Nano IT","4153","socks4","4305","88","2023-11-09T16:12:35.596Z","100","4735","4749"
"181.170.240.139","elite","AS7303","AR","Telecom Argentina S.A","293","Fibertel","5678","socks4","4894","1","2023-11-09T16:12:35.900Z","92","4271","4656"
"38.127.173.250","elite","AS174","US","Cogent Communications","88","Torlandia Trading SRL","55994","socks4","5090","3","2023-11-09T16:12:35.897Z","100","4656","4662"
"92.222.237.74","elite","AS16276","FR","OVH SAS","95","LCC LCC","8888","socks5","4602","2","2023-11-09T16:12:35.509Z","100","4694","4694"
"80.210.56.169","elite","AS58224","IR","TIC","91","Telecommunication Company of Tehran","4153","socks4","5500","1","2023-11-09T16:12:31.097Z","91","4273","4675"
"43.134.183.120","elite","AS132203","SG","Aceville Pte.ltd","328","N/A","443","socks4","3102","1","2023-11-09T16:12:30.494Z","84","3935","4704"
"170.246.196.42","elite","AS52974","BR","Henet Telecomunicacoes Ltda","283","Henet Telecomunicacoes Ltda","4153","socks4","1208","1","2023-11-09T16:12:30.397Z","91","4240","4679"
"189.201.191.67","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","174","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","1214","1","2023-11-09T16:12:30.305Z","99","4711","4753"
"197.234.13.23","elite","AS36902","SC","Intelvision","404","Intelvision Ltd","4145","socks4","6313","1","2023-11-09T16:12:30.406Z","100","4604","4626"
"139.59.128.40","elite","AS14061","DE","DIGITALOCEAN","96","DigitalOcean, LLC","2016","socks5","4791","1","2023-11-09T16:12:30.298Z","100","4762","4763"
"149.20.253.40","elite","AS18615","US","Mainstream Fiber Networks, LLC","111","Mainstream Fiber Networks, LLC","12551","socks4","1206","98","2023-11-09T16:12:26.207Z","100","4606","4616"
"110.42.246.153","elite","AS45090","CN","China Internet Network Information Center","186","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","4909","1","2023-11-09T16:12:26.104Z","21","981","4722"
"178.254.168.34","elite","AS205570","TR","Turkcell Internet","59","Turkcell Iletisim Hizmetleri","3440","socks4","990","2","2023-11-09T16:12:22.407Z","89","4218","4729"
"188.255.238.255","elite","AS52116","RS","Orion Telekom ISP IP network","112","Orion Telekom Tim d.o.o.Beograd","5678","socks4","4901","88","2023-11-09T16:12:22.412Z","93","4350","4702"
"103.51.46.251","elite","AS133819","ID","CIM","204","N/A","13381","socks5","4589","1","2023-11-09T16:12:22.403Z","97","4588","4706"
"115.242.252.174","elite","AS55836","IN","Reliance Jio Infocomm Limited","130","Reliance Jio Infocomm Limited","4153","socks4","4710","1","2023-11-09T16:12:21.505Z","83","3948","4761"
"138.97.0.125","elite","AS262346","BR","FP Telecomunicacoes Ltda","292","FP Telecomunicacoes Ltda","4145","socks4","5009","1","2023-11-09T16:12:21.500Z","80","3707","4616"
"116.58.232.32","elite","AS131090","TH","CAT-BB","202","N/A","4145","socks4","1790","1","2023-11-09T16:12:21.407Z","62","2856","4601"
"119.17.192.97","elite","AS24173","VN","Netnam Corporation","400","NETNAM","1080","socks4","2397","3","2023-11-09T16:12:13.809Z","100","4706","4714"
"128.199.16.89","elite","AS14061","IN","DigitalOcean, LLC","147","DigitalOcean, LLC","53989","socks5","5095","1","2023-11-09T16:12:12.700Z","41","1910","4641"
"159.65.116.119","elite","AS14061","DE","DigitalOcean, LLC","25","DigitalOcean, LLC","30199","socks5","5004","1","2023-11-09T16:12:08.101Z","94","4446","4731"
"31.42.57.129","elite","AS205318","UA","Limited Liability Company AVATOR ISP","50","\"Merlin-Telekom\" LLC","3699","socks4","4905","1","2023-11-09T16:12:08.099Z","100","4720","4722"
"103.47.253.58","elite","AS133918","MY","Suria Data Centre Sdn. Bhd.","194","Suria Data Centre Sdn. Bhd","50550","socks5","5001","1","2023-11-09T16:12:08.002Z","100","4761","4770"
"108.26.234.210","elite","AS701","US","Verizon Communications","97","MCI Communications Services, Inc. d/b/a Verizon Business","9050","socks5","4810","6","2023-11-09T16:12:06.696Z","100","4652","4669"
"109.86.219.179","elite","AS13188","UA","Triolan","85","N/A","55489","socks4","4197","87","2023-11-09T16:12:06.708Z","97","4627","4762"
"110.78.149.186","elite","AS131090","TH","CAT-BB","285","N/A","4145","socks4","3403","1","2023-11-09T16:12:06.896Z","69","3228","4647"
"104.16.224.33","elite","AS13335","US","Cloudflare, Inc.","6","Cloudflare, Inc.","80","socks4","2899","1","2023-11-09T16:12:06.995Z","100","4761","4764"
"1.4.198.152","elite","AS23969","TH","TOT Public Company Limited","166","TOT Public Company Limited","4145","socks4","3397","1","2023-11-09T16:12:01.296Z","55","2613","4715"
"61.7.184.39","elite","AS131090","TH","CAT Telecom Public Company Limited","209","National Telecom Public Company Limited","4145","socks4","4810","90","2023-11-09T16:12:00.814Z","84","3907","4669"
"43.153.81.60","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","443","socks4","4405","1","2023-11-09T16:12:00.816Z","91","4275","4702"
"213.89.48.95","elite","AS1257","SE","CHELLO","50","Com Hem AB","1080","socks4","3299","96","2023-11-09T16:12:00.396Z","98","4642","4721"
"110.77.232.134","elite","AS131090","TH","CAT Telecom Public Company Limited","283","CAT BBviaOnnet","4145","socks4","5093","1","2023-11-09T16:12:00.610Z","87","3860","4436"
"45.8.105.194","elite","AS209242","DE","Cloudflare London, LLC","14","Araxio Development N.V","80","socks4","5398","1","2023-11-09T16:12:00.811Z","100","4624","4624"
"103.82.8.193","elite","AS136156","BD","FNF Online","180","N/A","4153","socks4","4005","1","2023-11-09T16:12:00.605Z","96","4554","4751"
"110.78.81.107","elite","AS9931","TH","CAT Telecom Public Company Limited","230","CAT Telecom public company Ltd","5678","socks4","5199","2","2023-11-09T16:11:54.111Z","98","4641","4728"
"202.92.4.113","elite","AS135905","VN","INET","291","iNET Media Company Limited","35528","socks5","4891","1","2023-11-09T16:11:53.997Z","64","2998","4693"
"195.66.89.209","elite","AS39121","RU","Eniseyneftegas Territorial Industrial Technical Management of Communication LLC","101","Eniseyneftegas Territorial Industrial Technical Management of Communication CJSC","5678","socks5","1014","2","2023-11-09T16:11:48.396Z","99","4606","4659"
"107.173.185.72","elite","AS36352","US","ColoCrossing","93","ColoCrossing","80","socks5","4500","2","2023-11-09T16:11:48.415Z","100","4706","4717"
"171.97.107.130","elite","AS17552","TH","True Internet Corporation CO. Ltd.","314","Truenet Hisp","4145","socks4","4793","2","2023-11-09T16:11:48.408Z","53","2526","4782"
"103.9.134.148","elite","AS9832","BD","Information Services Network Ltd","202","ISN Gazipur","5678","socks4","4300","1","2023-11-09T16:11:48.805Z","96","4557","4743"
"106.52.65.104","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","294","Tencent cloud computing (Beijing) Co., Ltd.","1080","socks4","3688","1","2023-11-09T16:11:48.412Z","84","3974","4741"
"38.127.172.167","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","46656","socks4","4904","1","2023-11-09T16:11:48.496Z","100","4606","4613"
"186.251.255.149","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","270","Seanet Telecom Carazinho Eireli","31337","socks4","3314","2","2023-11-09T16:11:48.305Z","99","4643","4675"
"185.220.226.128","elite","AS205585","TR","Noyan Abr Arvan Co. ( Private Joint Stock)","49","Noyan Abr Arvan Co. ( Private Joint Stock)","808","socks5","1108","1","2023-11-09T16:11:48.400Z","90","4139","4603"
"88.255.217.48","elite","AS9121","TR","TurkTelekom","83","N/A","1080","socks4","2196","1","2023-11-09T16:11:48.801Z","25","1166","4704"
"188.255.218.246","elite","AS200923","RS","Orion Telekom Indjija Ewireless","39","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4906","2","2023-11-09T16:11:43.796Z","98","4614","4701"
"203.30.188.247","elite","AS209242","BZ","Cloudflare London, LLC","14","Umpire Associates LTD","80","socks5","4602","189","2023-11-09T16:11:42.505Z","100","4771","4772"
"185.32.47.105","elite","AS200154","AZ","Izone LLC","95","BossNet LLC","4153","socks4","4612","1","2023-11-09T16:11:42.308Z","100","4593","4600"
"103.66.233.153","elite","AS134014","IN","NET 4 U SERVICES","146","N/A","4145","socks4","2792","6","2023-11-09T16:11:42.903Z","99","4629","4656"
"62.171.135.216","elite","AS51167","DE","Contabo GmbH","102","Contabo GmbH","50037","socks5","4403","1","2023-11-09T16:11:42.603Z","99","4614","4652"
"202.137.17.151","elite","AS9905","ID","LINKNET","192","N/A","5678","socks4","719","1","2023-11-09T16:11:42.596Z","98","4639","4730"
"190.0.22.38","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","197","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","4796","1","2023-11-09T16:11:42.501Z","99","4698","4738"
"45.112.125.54","elite","AS58369","ID","FIBERNET","175","N/A","4145","socks4","4788","1","2023-11-09T16:11:42.600Z","99","4720","4779"
"45.77.4.241","elite","AS20473","US","The Constant Company","199","Vultr Holdings, LLC","9050","socks5","4708","3","2023-11-09T16:11:37.295Z","97","4557","4708"
"180.183.1.188","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","4145","socks4","4806","3","2023-11-09T16:11:36.095Z","98","4527","4635"
"189.138.115.211","elite","AS8151","MX","UNINET","203","Gestión de direccionamiento UniNet","80","socks4","5095","2","2023-11-09T16:11:35.896Z","90","4177","4630"
"5.187.4.208","elite","AS44066","ES","First Colo","84","Fornex Hosting S.L","39767","socks4","3300","2","2023-11-09T16:11:35.696Z","99","4663","4689"
"61.178.55.53","elite","AS4134","CN","Chinanet","207","N/A","10800","socks4","5008","1","2023-11-09T16:11:35.699Z","81","3767","4652"
"43.134.169.221","elite","AS132203","SG","Aceville Pte.ltd","336","N/A","443","socks4","3710","87","2023-11-09T16:11:35.797Z","75","3544","4740"
"201.184.63.218","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","185","EPM Telecomunicaciones S.A. E.S.P","8080","socks4","5101","5","2023-11-09T16:11:30.595Z","98","4632","4736"
"46.174.235.235","elite","AS15874","PL","Interkam Szczepanik Spolka Komandytowa","98","Interkam Szczepanik Spolka Komandytowa","5678","socks4","5006","2","2023-11-09T16:11:30.498Z","99","4580","4645"
"51.77.116.174","elite","AS16276","GB","OVH SAS","13","OVH Ltd","28046","socks5","4294","1","2023-11-09T16:11:30.502Z","100","4688","4690"
"43.245.243.58","elite","AS56186","NZ","Digital Island Limited","276","Digital Island Limited","5678","socks4","4896","2","2023-11-09T16:11:29.303Z","100","4710","4729"
"178.212.53.3","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","100","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","906","1","2023-11-09T16:11:25.413Z","99","4666","4723"
"157.230.36.225","elite","AS14061","SG","DigitalOcean, LLC","173","DigitalOcean, LLC","7497","socks5","4001","2","2023-11-09T16:11:25.416Z","37","1749","4672"
"197.234.13.42","elite","AS36902","SC","Intelvision","172","Intelvision Ltd","4145","socks4","1813","2","2023-11-09T16:11:24.609Z","99","4701","4725"
"119.82.226.232","elite","AS24213","ID","Arsen Kusuma Indonesia","190","N/A","7497","socks5","1103","1","2023-11-09T16:11:24.797Z","99","4668","4731"
"180.183.2.61","elite","AS45629","TH","Triple T Broadband Public Company Limited","159","Triple T Broadband Public Company Limited","4145","socks4","5101","2","2023-11-09T16:11:24.805Z","96","4496","4686"
"186.216.195.1","elite","AS52973","BR","YIPI Telecom LTDA.","194","YIPI Telecom LTDA","4153","socks4","3513","2","2023-11-09T16:11:24.696Z","100","4696","4701"
"116.199.168.1","elite","AS45661","IN","Capture Network Systems Pvt Ltd","197","CAPTURE","4145","socks4","4085","1","2023-11-09T16:11:24.699Z","99","4695","4727"
"159.192.143.241","elite","AS131090","TH","CAT-BB","303","N/A","4153","socks4","1508","2","2023-11-09T16:11:19.207Z","96","4526","4703"
"51.91.21.129","elite","AS16276","FR","OVH SAS","14","OVH","29119","socks5","4184","87","2023-11-09T16:11:19.202Z","100","4711","4711"
"38.127.172.169","elite","AS174","US","Cogent Communications","83","Torlandia Trading SRL","54291","socks4","4001","1","2023-11-09T16:11:19.106Z","100","4664","4672"
"185.132.228.237","elite","AS210238","IT","Dieffeitalia.it S.r.l.","33","Dieffeitalia.it S.r.l","21023","socks5","2099","1","2023-11-09T16:11:18.097Z","99","4588","4643"
